Omegac_M,Omega_M,pi_Omegac_1_P,pi_Omegac_2_P,Omega_PE,Omega_PX,Omega_PY,Omega_PZ,pi_Omegac_1_PE,pi_Omegac_1_PX,pi_Omegac_1_PY,pi_Omegac_1_PZ,pi_Omegac_2_PE,pi_Omegac_2_PX,pi_Omegac_2_PY,pi_Omegac_2_PZ,pi_mi_Omegac_PE,pi_mi_Omegac_PX,pi_mi_Omegac_PY,pi_mi_Omegac_PZ,sweight_signal,sweight_background
2669.103132741103,1683.6989784400653,5456.12,9731.98,27952.30640600879,3861.51,557.67,27627.42,5457.904855306271,670.2194460110202,52.589353285516445,5414.543905862219,9732.980770328058,1209.9194948561355,-63.00146794203617,9656.270519792008,5019.590767948694,498.04072902282843,433.14402671668097,4974.047969898768,-0.21680071140560547,1.2168014069555535
2709.4297988814537,1676.1924859632802,9530.33,5748.94,41477.62204947265,3012.42,878.29,41324.78,9531.351943144045,747.9162840692973,-105.43386538056045,9500.35235351589,5750.633971900469,221.46763465447333,326.3014193484246,5735.39803275516,11822.353889817196,511.32845906147054,379.8632291420791,11804.3559195324,-0.2044072728358747,1.2044079417696798
2658.1502185558966,1682.5493306289716,5138.82,17151.32,30630.71956093425,-1876.48,-1661.41,30481.61,5140.715022988123,-132.016818685907,-324.1854269217831,5126.884664292302,17151.887875612287,-926.3547295436535,-1443.99941665072,17065.301355152347,3687.342409537765,-364.64245429981713,-241.28943056481762,3658.6649725302686,-0.2168007191138146,1.2168014146637791
2719.253876444498,1659.2346127055089,7451.28,11694.93,24827.862679475653,690.86,-1361.23,24725.28,7452.587040322022,272.63388629712045,-675.8263865060833,7415.558178434355,11695.762807960657,506.58962168411557,-1056.6651129338773,11636.073800866443,10446.812381275726,305.4586384071345,-923.016969307158,10400.535739518109,-0.21680023341830537,1.2168009289672268
2684.752814174477,1663.708508122742,4455.32,16007.699999999999,43870.71085057661,-2748.3,4604.8,43509.93,4457.505609371206,-280.91861330962735,467.18404018053127,4421.843519132805,16008.308444216576,-307.9195097868644,1553.669836121457,15929.147965469432,8856.729794460014,-389.6294993445062,722.8447048448879,8817.475096807375,-0.13200101656350988,1.132001529997673
2703.2728666034986,1666.74960626964,9352.04,1538.4899999999998,31438.587263647838,4466.26,-1245.7,31050.08,9353.081423615204,1036.9781426637812,-606.2430883346283,9274.578039516628,1544.807895913201,397.1147500879615,-116.25436708844765,1481.8016997882812,6157.3320535501225,962.1853844045079,-71.58046264311994,6079.665581749226,0.21636213936261886,0.7836376259269925
2729.7926974607713,1659.0013562381077,6910.170000000001,11963.839999999998,24647.39677058208,-318.47,1657.66,24533.5,6911.579369729887,-323.48168831574213,350.13124883148527,6893.70851826621,11964.654090310163,-515.6584401221407,1288.9748066062932,11883.017624604663,3254.903777882808,-145.19667515330116,406.4792012536393,3223.136862215539,-0.21680071911379073,1.2168014146637554
2703.137785283365,1686.5839735987058,9119.280000000002,6635.669999999999,27121.898441086312,1009.75,1654.06,26999.95,9120.348001780185,506.41925642386326,809.3567473033136,9069.164730597726,6637.137658966835,358.95896965136046,62.55118662195063,6625.658620549281,5917.876085900733,384.2069099677993,141.6996147999181,5902.0406371354775,0.2392584377900869,0.7607412783274448
2734.4281618090013,1679.3512884444042,4827.979999999999,4277.009999999999,31081.4823936311,2857.84,-265.94,30903.08,4829.99698090752,404.7664803136608,215.2607092703985,4806.1645627109865,4279.286680660197,547.0568196662927,20.107132249316592,4241.832042807601,19778.862449900294,1437.1298506254686,64.3163732651533,19725.98390584032,-0.21680071911381468,1.2168014146637791
2729.659223580163,1686.4607170044153,5520.16,2534.29,69556.68522994033,-4679.7,4228.83,69249.59,5521.924155652247,-308.76547276720464,232.1975646137884,5506.624610359259,2538.1303668794817,-185.67305218905722,333.615287297525,2505.3646764238115,4663.68893850949,-279.59987410213216,589.0154072976213,4615.777217367417,-0.21680071911378396,1.2168014146637485
2729.258990777807,1658.532936061229,4028.9299999999994,5289.089999999999,32487.275545814857,-1063.62,-1275.47,32402.38,4031.3467848940713,-396.55823684904857,-323.9098909035159,3996.2608638903994,5290.931201903476,-46.28912131678172,-386.65578698825317,5274.73484146229,8464.79072421615,169.47544036770145,-336.3671239094736,8455.255009913362,-0.21680071911374965,1.2168014146637143
