	0
Omega_OWNPV_XERR	0.0167
Omega_OWNPV_Y	0.1816
Omega_OWNPV_YERR	0.0162
Omega_OWNPV_Z	7.5813
Omega_OWNPV_ZERR	0.0725
Omega_P	37129.10091861908
Omega_PE	37167.67581212202
Omega_PHI	-0.8727964385700004
Omega_PT	1596.5323571415645
Omega_PX	1026.07
Omega_PY	-1223.15
Omega_PZ	37094.76
Omega_Y	3.4630275056472346
Omegac_DIRA_OWNPV	0.9994801047235422
Omegac_DTF_Lambda0_M	{ 1115.68f }
Omegac_DTF_Lambda0_MERR	{ 0.00468920f }
Omegac_DTF_Lambda0_P	{ 28717.0f }
Omegac_DTF_Lambda0_PERR	{ 103.443f }
Omegac_DTF_Lambda0_ctau	{ 34.0067f }
Omegac_DTF_Lambda0_ctauErr	{ 1.60948f }
Omegac_DTF_Lambda0_decayLength	{ 875.314f }
Omegac_DTF_Lambda0_decayLengthErr	{ 41.3206f }
Omegac_DTF_M	{ 2670.28f }
Omegac_DTF_MERR	{ 4.61112f }
Omegac_DTF_Omegaminus_M	{ 1672.45f }
Omegac_DTF_Omegaminus_MERR	{ 0.00305136f }
Omegac_DTF_Omegaminus_P	{ 36834.9f }
Omegac_DTF_Omegaminus_PERR	{ 110.031f }
Omegac_DTF_Omegaminus_ctau	{ -0.0151978f }
Omegac_DTF_Omegaminus_ctauErr	{ 0.362576f }
Omegac_DTF_Omegaminus_decayLength	{ -0.334724f }
Omegac_DTF_Omegaminus_decayLengthErr	{ 7.98594f }
Omegac_DTF_P	{ 76772.3f }
Omegac_DTF_PERR	{ 165.855f }
Omegac_DTF_chi2	{ 69.1638f }
Omegac_DTF_nDOF	{ 9.00000f }
Omegac_DTF_nIter	{ 3.00000f }
Omegac_DTF_nPV	1
Omegac_DTF_status	{ 0.00000f }
Omegac_ENDVERTEX_CHI2	2.87283860727617
Omegac_ENDVERTEX_COV_	{ 0.00320870f, -0.00335221f, 0.0845365f, -0.00335221f, 0.00451208f, -0.103446f, 0.0845365f, -0.103446f, 2.63669f }
Omegac_ENDVERTEX_NDOF	5
Omegac_ENDVERTEX_X	0.9327301844869497
Omegac_ENDVERTEX_XERR	0.05664537640417638
Omegac_ENDVERTEX_Y	0.15730764417401977
Omegac_ENDVERTEX_YERR	0.06717201680968028
Omegac_ENDVERTEX_Z	9.583445401893691
Omegac_ENDVERTEX_ZERR	1.6237889894548707
Omegac_ETA	3.7541753483719305
Omegac_FDCHI2_OWNPV	8.266075162635381
Omegac_FD_OWNPV	2.002361000387992
Omegac_ID	-4332
Omegac_IPCHI2_OWNPV	5.110910793853368
Omegac_IP_OWNPV	0.0645593066323875
Omegac_M	2694.5022883107317
Omegac_MM	2694.117780774071
Omegac_MMERR	1.0
Omegac_OWNPV_CHI2	12.69858455657959
