Omegac_M,Omega_M,pi_Omegac_1_P,pi_Omegac_2_P,Omega_PE,Omega_PX,Omega_PY,Omega_PZ,pi_Omegac_1_PE,pi_Omegac_1_PX,pi_Omegac_1_PY,pi_Omegac_1_PZ,pi_Omegac_2_PE,pi_Omegac_2_PX,pi_Omegac_2_PY,pi_Omegac_2_PZ,pi_mi_Omegac_PE,pi_mi_Omegac_PX,pi_mi_Omegac_PY,pi_mi_Omegac_PZ,sweight_signal,sweight_background
2737.4032672191834,1672.1380774326024,15626.000000000002,5155.41,24524.239989793772,901.77,2037.05,24365.54,15626.623306241685,482.72956234493364,735.8828414262593,15601.196255843099,5157.298927081479,229.7410179901104,330.5220161032498,5139.671830926943,5710.5958522098,171.1306496740474,653.3320659576073,5668.80027381753,-0.4451503176048499,1.4450214206471939
2670.76982614985,1668.5060683137717,5759.22,10923.329999999998,26678.368821811426,448.01,882.86,26607.73,5760.910949110025,147.2759498425017,354.0640927060128,5746.439194949709,10924.221631039702,-262.5974383454749,308.74368801323146,10915.807721345514,10858.82700111185,149.09396942899866,323.0027858200961,10852.100445237887,-0.4424961932844674,1.4423675719835727
2700.5541061954773,1685.3949833792847,11975.500000000002,6365.38,22507.665283342918,615.33,1636.84,22376.25,11976.31329772129,485.550306099796,797.7108780407539,11939.032561531185,6366.90996477693,325.96770211221985,461.4129161369971,6340.260698299529,3755.4844304398025,224.8613401922327,561.8894569762424,3703.7684819553574,1.4907986153646537,-0.4907264450966778
2702.2212603926473,1672.1273127366828,18379.89,6573.760000000002,33730.04872397904,-1483.82,1038.4,33639.86,18380.419918143212,-1138.6502708858293,601.4762635399976,18334.7227488476,6575.241477906025,-22.028723546196588,397.8172197014887,6561.6748420390295,4860.064497388463,-247.49132750502747,267.3543993091992,4844.379901657158,1.40624403400473,-0.40618064555676936
2652.9607462550566,1672.2674726251537,2825.54,9777.93,25966.082988748996,2470.61,-228.11,25793.12,2828.985020599397,559.9058972159094,-69.55740283456706,2768.635665011516,9778.926067829523,764.8172648185331,-60.45430119994999,9747.785128622909,5652.103511045757,444.38708071005897,93.2492033130756,5632.1060761476665,-0.44516331544704335,1.445034417139434
2680.576671114875,1671.9282281246406,12826.11,8667.17,50338.95617577901,2785.58,833.75,50227.09,12826.869364239887,1331.1152213998819,325.2370476908426,12752.703668723228,8668.293705457596,510.0283536682704,169.23180053780686,8650.495216173533,5735.418467171839,274.17999659753065,245.36627047905984,5721.902285182523,-0.3146407800775787,1.3145254378114652
2677.2686992237673,1662.9255094562945,7845.32,27893.290000000005,54925.58230262197,-2663.63,3675.06,54712.46,7846.561403415879,-717.5748884869345,615.3193971730823,7788.16500989004,27893.639184933832,-1742.8030083819467,1697.9348443815222,27786.962445764202,7043.632941719477,-329.3313977737515,421.1739707654336,7021.925546407486,-0.40281982770358615,1.4026953271811968
2733.607793435576,1674.579798038828,18426.770000000004,15576.94,35325.307255469124,-4881.95,2985.02,34818.52,18427.29857000412,-2450.6950322952653,1176.254591218126,18225.157657156815,15577.565269283123,-2227.680469556036,1373.5321277211522,15355.517216403894,11216.048430154702,-1584.9194458967781,748.783349992752,11077.346987306659,-0.44503239741237344,1.444903512701882
2694.9637756668008,1670.3018439789628,12590.559999999998,6540.069999999999,50265.12006522316,2532.05,-1577.02,50148.72,12591.33356991132,87.48935587081397,-406.5942165961803,12583.688961081318,6541.559107741499,346.6742285866401,-296.8172420877994,6524.126923116474,8063.687971739467,122.75109124694067,-471.99525688446727,8047.716222474313,1.2805428470594367,-0.28049251390879676
2707.1336992705023,1672.6360183853153,9296.129999999997,4604.21,27130.83627322608,1153.39,-1385.37,27019.16,9297.177686377503,-96.38185532312016,-583.3594178242183,9277.30754607716,4606.324964575966,370.1497657174009,-353.0708995926512,4575.705389871619,5176.881779138459,373.1151351217613,-478.39290700594813,5139.314187950516,0.8474224486650564,0.1525829006973299
2696.173168621354,1672.090084295557,17580.480000000003,28592.28,53555.36642387297,1547.94,2067.56,53466.91,17581.034013549255,286.98769561012745,528.7244365562028,17570.183993434923,28592.620648579516,473.0910042446497,993.1546269558792,28571.109610707437,21412.524877745636,462.9055358930594,712.8707083729137,21395.192812940095,1.3874512534922074,-0.3873898168582515
2679.9580355831836,1672.090084295557,17412.49,28592.28,53555.36642387297,1547.94,2067.56,53466.91,17413.049358319633,287.611796428814,605.4821631897471,17399.582719269853,28592.620648579516,473.0910042446497,993.1546269558792,28571.109610707437,21412.524877745636,462.9055358930594,712.8707083729137,21395.192812940095,-0.33783851877824844,1.3377207672001528
2734.8556798455375,1681.7697523739687,13258.500000000002,10996.15,36085.48644433798,2341.0,-1249.77,35948.46,13259.234601030928,371.372714158425,-207.19807123684322,13251.678139634028,10997.03572685275,489.82866185871933,-262.7384314588733,10982.09229706053,12019.480376625095,474.70742942425096,-275.74468127326094,12006.125365666432,-0.4451003656405743,1.4449714738709178
2676.5680212013144,1679.1281964162413,5396.249999999999,5529.87,21972.12072997279,2710.04,3186.65,21504.78,5398.054651230919,776.7173165819203,287.5622649346343,5332.310213819845,5531.631058926089,398.5391959181692,718.1862935021181,5468.531537263234,2513.9273970573963,204.2653803331661,406.03613823247497,2468.554498354575,-0.4126184106703538,1.4124928924693165
2685.2644833611093,1679.0435521450895,11093.95,16381.719999999996,32396.769814691404,794.59,3398.94,32164.38,11094.827919245787,110.12736349994898,990.954680892908,11049.05459244025,16382.314553004273,469.03148647926895,1594.076318664166,16297.229221967918,5208.26043773502,30.735593951841274,767.4297895311985,5149.427509296983,0.012235626066387999,0.9876829809783452
