Omegac_M,Omega_M,pi_Omegac_1_P,pi_Omegac_2_P,Omega_PE,Omega_PX,Omega_PY,Omega_PZ,pi_Omegac_1_PE,pi_Omegac_1_PX,pi_Omegac_1_PY,pi_Omegac_1_PZ,pi_Omegac_2_PE,pi_Omegac_2_PX,pi_Omegac_2_PY,pi_Omegac_2_PZ,pi_mi_Omegac_PE,pi_mi_Omegac_PX,pi_mi_Omegac_PY,pi_mi_Omegac_PZ,sweight_signal,sweight_background
2698.1220726812026,1675.070222408601,13362.570000000002,6621.289999999999,66425.5367811484,-6280.6,-1460.84,66090.59,13363.29888014467,-1005.5042452916252,67.45162414081986,13324.514568868966,6622.760845695378,-432.77684226074206,-239.14062115190993,6602.8022257385455,15028.248125286456,-1647.7341368324696,-242.72961703234327,14935.019796014078,1.2549088991497768,-0.2548363585077586
2665.5462916857996,1660.6890889025556,4182.900000000001,4113.38,25675.877761638454,-383.3,-1485.41,25576.15,4185.227874940118,-22.451292759281444,-568.8440038601642,4143.979349456966,4115.747195780587,150.66379007557882,-465.539756107657,4084.172888387964,7204.71201678289,-360.27112021664755,-356.32124226286885,7185.515651771284,-0.3193409814614624,1.3192193113591477
2722.9039201614296,1665.403929982153,15852.79,8454.58,54237.0196183815,-1933.45,670.19,54172.81,15853.404389571213,-175.1483622283011,526.1138234836067,15843.089284607602,8455.731957174126,-15.517614177839079,368.6889547800401,8446.522990833177,5593.901448968849,-207.78872461068298,292.3136628670891,5580.647814906966,-0.31932551748500226,1.319203849290434
2678.092943666024,1684.5149895444683,10657.320000000002,5141.599999999999,38716.14385514911,2892.31,1273.24,38550.17,10658.233884540901,687.7281782702632,728.8020202196386,10610.10589723481,5143.493998749855,414.82950130671037,279.59470203483585,5117.205667885519,13089.17414583807,1391.0645167627815,396.26591023623735,13008.263247009118,-0.2836955639596505,1.2835782913314282
2716.678060520614,1659.6768510768109,6952.53,8054.41,36776.325075960216,-2534.73,167.43,36650.93,6953.930784533002,-741.8261414883001,-149.00967327780714,6911.23458536709,8055.619181867758,-881.977914245228,-205.33068753299676,8003.341471887905,12678.198269473301,-865.2515972941393,263.71723604281914,12645.118595635784,-0.31713959490018534,1.3170181963766892
2724.7730393416123,1675.8745478107842,25908.56,7382.579999999999,85030.79022486736,301.27,2825.29,84966.78,25908.935933935532,-421.60725037127054,772.4915455030416,25893.608968472523,7383.899201070919,-62.71997564565595,487.45265046820066,7366.202792117967,9276.50002197358,148.1648136256015,409.07277832623043,9265.240382879216,-0.31934257938519267,1.3192209090857467
2690.7891035370826,1676.678338262746,15383.209999999997,9003.490000000002,49814.56706893075,-158.51,-1059.25,49774.82,15383.843143352564,327.03112098191747,-532.3488017235586,15370.517405192082,9004.5717352507,148.53050904669087,-342.4671474952155,8995.748280208203,20654.561570831655,-198.21994685624423,-447.12465206729274,20648.298286451645,1.1300362530103196,-0.1299791175526067
2688.4499683284776,1683.4998514999158,7593.96,8960.14,40647.134051042274,-690.14,-2702.37,40516.37,7595.242487029349,162.14704291304,-564.9028189773408,7571.18363422695,8961.226968154291,-232.79375667790364,-306.57424127997825,8951.867298001875,15357.014249507483,-401.58370062512347,-768.4541798566935,15331.882317877773,0.7692276171768346,0.23078500634246848
2732.1717760386455,1658.8657269351247,4500.08,6666.179999999999,21658.900227419213,-2581.97,-573.52,21432.7,4502.24388073056,-372.1616940516108,-66.83224161072019,4484.166492377588,6667.640943210407,-498.3125989279764,121.95863337444295,6646.410041360304,11657.505541241479,-1538.9919921250982,-383.8977869842898,11548.250154297117,-0.3193467796190325,1.3192251088014155
2701.7367049898144,1672.8668506491942,7352.930000000001,6410.64,78441.95809021215,1431.59,-1272.16,78400.73,7354.254519669264,-10.97470108155335,-451.89121932559823,7339.02265064856,6412.1591655834445,318.0241301893713,-189.96970042810113,6399.927919526637,8237.962413338373,356.2227268407155,-81.9121712291492,8228.66578088372,0.7313891414612994,0.26861881403253757
